longitude,latitude
208.7950624254414,-14.991915583271439
208.80968852336824,-14.99879254176523
208.82430585269765,-15.00475669001729
208.83890564602106,-15.009807628711894
208.85347913854724,-15.013945085821154
208.8680175694094,-15.01716891662693
208.88251218297134,-15.019479103700375
208.8969542301317,-15.020875756838535
208.91133496962567,-15.02135911295239
208.92564566932427,-15.020929535914014
208.9398776075301,-15.019587516355736
208.9540220742695,-15.017333671431192
208.9680703725807,-15.014168744521182
208.9820138197973,-15.010093604909473
208.99584374882647,-15.005109247403935
209.00955150942212,-14.999216791917968
209.02312846945182,-14.99241748301266
209.03656601615762,-14.984712689389065
209.04985555740956,-14.976103903342675
209.0629885229528,-14.966592740177049
209.0759563656463,-14.956180937570444
209.088750562694,-14.944870354905305
209.10136261686708,-14.932662972557527
209.1137840577178,-14.91956089114289
209.12600644278373,-14.905566330724827
209.1380213587824,-14.890681629983126
209.14982042279587,-14.87490924534399
209.16139528344488,-14.858251750071725
209.17273762205218,-14.840711833321597
209.18383915379462,-14.822292299159553
209.19469162884366,-14.802996065542578
209.20528683349391,-14.78282616326413
209.21561659127974,-14.761785734862386
209.2256727640787,-14.739878033500668
209.2354472532025,-14.717106421808522
209.24493200047453,-14.693474370689913
209.25411898929383,-14.668985458106846
209.2630002456849,-14.643643367819173
209.27156783933395,-14.617451888107492
209.27981388460984,-14.590414910455149
209.28773054157105,-14.562536428210805
209.295310016957,-14.533820535214664
209.3025445651642,-14.504271424402113
209.30942648920728,-14.473893386383473
209.3159481416635,-14.44269080799118
209.32210192560163,-14.410668170807737
209.3278802954945,-14.377830049668992
209.33327575811515,-14.344181111144794
209.33828087341584,-14.309726111995243
209.34288825539056,-14.274469897611048
209.34709057292042,-14.238417400425014
209.3508805506016,-14.201573638316122
209.35425096955572,-14.163943712985372
209.35719466822295,-14.12553280831919
209.35970454313707,-14.086346188734788
209.3617735496827,-14.046389197511909
209.36339470283465,-14.005667255106976
209.3645610778786,-13.96418585745503
209.36526581111403,-13.92195057426111
209.3655021005387,-13.87896704727588
209.36526320651402,-13.835240988565367
209.364542452413,-13.790778178762157
209.36333322524828,-13.745584465320654
209.3616289762825,-13.699665760749786
209.35942322161904,-13.653028040852183
209.35670954277475,-13.605677342942757
209.35348158723326,-13.557619764078124
